ERYTHROMYCIN CAPSULES 250MG K,medicine_showdetail.php?sn=A000106100
SINFLO F.C.TAB. 100MG,medicine_showdetail.php?sn=A038554100
POTARLON TABLETS 250MG MEFENAMIC ACID,medicine_showdetail.php?sn=A038574100
HESOR TABLETS 60MG DILTIAZEM HYDROCHIORIDE YU SHENG,medicine_showdetail.php?sn=A038600100
FADIN F.C. TABLET 2,medicine_showdetail.php?sn=A038605100
ANXINIL TABLET 10MG BUSPIRONE 'SWISS',medicine_showdetail.php?sn=A038619100
PAINSTOP E.C. TABLET 50MG DICLOFENAC 'SWISS',medicine_showdetail.php?sn=A038622100
VOLV TABLETS 500MG METFORMIN,medicine_showdetail.php?sn=A038680100
ALININ CAPSULES 200,medicine_showdetail.php?sn=A038684100
POTARLON TABLETS 500MG MEFENAMIC ACID,medicine_showdetail.php?sn=A038685100
COS TABLETS CHINTE,medicine_showdetail.php?sn=A038722100
METHYLPREDNISOLONE TABLETS 4MG 'YUNG SHIN',medicine_showdetail.php?sn=A038766100
ROMICAN-A CAPSULES,medicine_showdetail.php?sn=A038819100
CENPARKIN CAPSULES 250MG,medicine_showdetail.php?sn=A038830100
CENPARKIN CAPSULES 125MG,medicine_showdetail.php?sn=A038831100
BENZOX TABLETS 2MG TRIHEXYPHENIDYL 'LITA',medicine_showdetail.php?sn=A038846100
ATEOL F.C. TABLETS 50MG ATENOLOL STANDARD,medicine_showdetail.php?sn=A038867100
TAZEM TABLETS 30MG DILTIAZEM STANDARD,medicine_showdetail.php?sn=A038871100
MEQUIT TABLETS 5MG MEQUITAZINE 'YU SHENG ',medicine_showdetail.php?sn=A038873100
BIGACON FILM COATED,medicine_showdetail.php?sn=A038891100
METISONE TABLETS 4MG METHYLPREDNISOLONE 'S.D.',medicine_showdetail.php?sn=A038955100
SOLIKY TABLETS 200MG SULINDAC,medicine_showdetail.php?sn=A038956100
SILYVITA CAPSULES,medicine_showdetail.php?sn=A038974100
NOMPIN TABLETS 20MG,medicine_showdetail.php?sn=A038983100
NIFECARDIA CAPSULES 10MG NIFEDIPINE,medicine_showdetail.php?sn=A038996100
ASUMALIFE TABLETS 1MG KETOTIFEN,medicine_showdetail.php?sn=A039012100
MEFENTIN CAPSULES 250MG MEFENAMIC ACIA 'C.C.P.C.',medicine_showdetail.php?sn=A039069100
TRENFYLLINE S.R.F.C. TABLETS 400MG PENTOXIFYLLINE,medicine_showdetail.php?sn=A039087100
BRUCID TABLETS 500MG PROBENECID 'W.P.',medicine_showdetail.php?sn=A039128100
VEINTONIC F.C. TABLETS 9.6MG GINKGOFLAVONGLYCOSIDE SWISS,medicine_showdetail.php?sn=A039168100
SOWECAINE TABLETS 5,medicine_showdetail.php?sn=A039218100
SULPYRIDE F.C.TABLETS 200MG 'H.C' SULPIRIDE,medicine_showdetail.php?sn=A039257100
SICOTAN CAPSULES N,medicine_showdetail.php?sn=A039291100
CHILON ENTERIC MICRO-ENCAPSULATED CAPSULES 50MG DICLOFENAC  'N.W.',medicine_showdetail.php?sn=A039297100
ESTROMON F.C.TABLETS 0.625MG 'STANDARD',medicine_showdetail.php?sn=A039304100
DELIPIC TABLETS LO,medicine_showdetail.php?sn=A039307100
BOLAXIN TABLETS 500MG METHOCARBAMOL 'Y.Y',medicine_showdetail.php?sn=A039385100
ANFLUPIN TABLETS 100MG FLURBIPROFEN 'TAI YU',medicine_showdetail.php?sn=A039397100
ENALATEC TABLETS 20MG ENALAPRIL,medicine_showdetail.php?sn=A039401100
LOZUTIN TABLETS 20M,medicine_showdetail.php?sn=A039403100
MEKIN TABLETS 5MG 'S.C.' MEQUITAZINE,medicine_showdetail.php?sn=A039407100
GLIUCON TABLETS 5MG GLIBENCLAMIDE,medicine_showdetail.php?sn=A039408100
SINTEC TABLETS 20MG ENALAPRIL S.T.,medicine_showdetail.php?sn=A039414100
SUFEN TABLETS 200MG TIAPROFENIC ACID,medicine_showdetail.php?sn=A039518100
SULOMEI F.C.TABLETS 250MG TICLOPIDINE 'N.W.',medicine_showdetail.php?sn=A039559100
KOLININ TABLETS 1MG LORAZEPAM,medicine_showdetail.php?sn=A039567100
MELOVA TABLETS 20MG,medicine_showdetail.php?sn=A039582100
CORNIN CAPSULES NW,medicine_showdetail.php?sn=A039587100
SWITANE TABLET 2MG TRIHEXYPHENIDYL 'SWISS',medicine_showdetail.php?sn=A039597100
SWITANE TABLET 2MG TRIHEXYPHENIDYL 'SWISS',medicine_showdetail.php?sn=A039597100
ASACOR TABLETS 20MG,medicine_showdetail.php?sn=A039601100
TOZY EXTRA TABLETS 'CHINTENG',medicine_showdetail.php?sn=A039621100
CEKOR CAPSULES 250M,medicine_showdetail.php?sn=A039630100
KOLININ TABLETS 2MG LORAZEPAM,medicine_showdetail.php?sn=A039651100
GLUCO CAPSULES 250M,medicine_showdetail.php?sn=A039658100
DIMETINE TABLETS 4MG BROMPHENIRAMINE 'EVEREST',medicine_showdetail.php?sn=A039688100
WEISU F.C. TABLETS 200MG SULINDAC 'KOJAR',medicine_showdetail.php?sn=A039692100
DICLOFENAC SODIUM ENTERIC F.C. TABLETS 'S.C.',medicine_showdetail.php?sn=A039718100
OXEWAY TABLETS 5MG,medicine_showdetail.php?sn=A039727100
DICRON TABLETS 80MG 'S.Y.' GLICLAZIDE,medicine_showdetail.php?sn=A039734100
NAPTON F.C. TABLETS 275MG NAPROXEN SODIUM 'B & F',medicine_showdetail.php?sn=A039775100
BENRONE TABLETS 100MG BENZBROMARONE 'WEIDAR',medicine_showdetail.php?sn=A039790100
OFLODAL F.C. TABLET,medicine_showdetail.php?sn=A039793100
QUIMADINE F.C. TABL,medicine_showdetail.php?sn=A039794100
OFCIN FILM COATED T,medicine_showdetail.php?sn=A039797100
OFCIN FILM COATED T,medicine_showdetail.php?sn=A039798100
ESTRADE TABLETS 2MG ESTRADIOL 'S.Y.',medicine_showdetail.php?sn=A039822100
SWINORIN F.C. TABLETS 100MG ATENOLOL SWISS,medicine_showdetail.php?sn=A039843100
CYMA CAPSULE 'CHINTENG',medicine_showdetail.php?sn=A039851100
IPENTOL CONTROLLED-RELEASE F.C. TABLETS 400 MG PENTOXIFYLLINE A 'S.Y.',medicine_showdetail.php?sn=A039858100
GINCARE FILM COATED TABLETS 9.6MG GINKGOFLAVONGLYCOSIDES,medicine_showdetail.php?sn=A039863100
ANZEN E.F.C.TAB.,medicine_showdetail.php?sn=A039867100
SILTIN TABLETS 5MG SELEGILINE 'N.W.',medicine_showdetail.php?sn=A039876100
POSMETAN F.C TABLETS 500MG MEFENAMIC ACID 'S.C.',medicine_showdetail.php?sn=A039910100
GASCAINE TABLET,medicine_showdetail.php?sn=A039924100
AZUGEN TABLETS 2MG,medicine_showdetail.php?sn=A039928100
CLICIN CAP. 150MG,medicine_showdetail.php?sn=A039931100
SINTEC TABLETS 5MG ENALAPRILS.T.,medicine_showdetail.php?sn=A039974100
ACEMET CAPSULES 60MG ACEMETACIN 'S.Y.',medicine_showdetail.php?sn=A040011100
LIAL TABLETS 500MG METFORMIN 'SINTON',medicine_showdetail.php?sn=A040035100
BENTOMIN TABLETS 500MG 'S.C.' METFORMIN,medicine_showdetail.php?sn=A040047100
AZU TABLETS 2MG AZ,medicine_showdetail.php?sn=A040051100
CYSIN TAB. 20MG,medicine_showdetail.php?sn=A040060100
ASAMOX TABLETS 5MG,medicine_showdetail.php?sn=A040071100
SERVISPOR CAPSULES,medicine_showdetail.php?sn=A040103100
SYNORID TABLETS 100MG ALLOPURINOL 'S.Y.',medicine_showdetail.php?sn=A040106100
BENTOMIN TABLETS 850MG 'S.C.' METFORMIN,medicine_showdetail.php?sn=A040119100
FRANDYL TABLETS 2.5MG FENOTEROL HYDROBROMIDE,medicine_showdetail.php?sn=A040120100
TERBELINE TABLETS 2.5MG TERBUTALINE SULFATE'S.C.',medicine_showdetail.php?sn=A040123100
CISA TABLETS 5MG,medicine_showdetail.php?sn=A040125100
TINTEN TABLETS 500MG ACETAMINOPHEN,medicine_showdetail.php?sn=A040130100
PURSIN F.C. TABLET 500MG IBUPROFEN LYSINATE 'PURZER',medicine_showdetail.php?sn=A040147100
HOMAGYL TABLETS 50MG 'H.C.' SULPIRIDE,medicine_showdetail.php?sn=A040152100
SIDALAT SOFT CAPSULES 10MG CHINTENGNIFEDIPINE,medicine_showdetail.php?sn=A040168100
BENZRO CAPSULES 'C.H.',medicine_showdetail.php?sn=A040174100
VOKER FILM COATED T,medicine_showdetail.php?sn=A040206100
JIACANG TABLETS,medicine_showdetail.php?sn=A040232100
GLIX TABLETS 5MG GLIPIZIDE 'YUNG SHIN',medicine_showdetail.php?sn=A040233100
GLIX TABLETS 5MG GLIPIZIDE 'YUNG SHIN',medicine_showdetail.php?sn=A040233100
ULCERPIN TABLETS C,medicine_showdetail.php?sn=A040257100
VOREN E.C. TABLETS 75MG DICLOFENAC SODIUM,medicine_showdetail.php?sn=A040363100
CELETON TABLETS 20M,medicine_showdetail.php?sn=A040367100
FORFLOW SUSTAINEDRELEASED TABLETS 400MG PENTOXIFYLLINE 'M.S.',medicine_showdetail.php?sn=A040399100
PEPTASE E.F.C. TABL,medicine_showdetail.php?sn=A040402100
LIMADOL CAPSULES 50MG TRAMADOL HYDROCHLORIDE 'N.K.',medicine_showdetail.php?sn=A040422100
TENCAM F.C. TABLETS 20MG TENOXICAM 'STANDARD',medicine_showdetail.php?sn=A040517100
IBUPROFEN TABLETS 400MG 'SWISS',medicine_showdetail.php?sn=A040536100
LOVASTIN TABLETS 20,medicine_showdetail.php?sn=A040541100
CLOPRAN F.C.TABLETS 25MG CLOMIPRAMINE 'SWISS',medicine_showdetail.php?sn=A040544100
SUSINE F.C.TABLETS 200MG SULPIRIDE 'SWISS',medicine_showdetail.php?sn=A040545100
RECERIN F.C. TABLETS 40MG GINKGOFLAVONGLYCOSIDESY.C.,medicine_showdetail.php?sn=A040568100
PROTON FORTE TABLETS 'NW',medicine_showdetail.php?sn=A040574100
EBUFEN F.C.TABLETS 400MG LBUPROFEN 'S.C',medicine_showdetail.php?sn=A040575100
GLUZIDE TABLETS 80MG GLICLAZIDE'STANDARD',medicine_showdetail.php?sn=A040583100
CHILON E.F.C. TABLETS 75MG DICLOFENAC SODIUM 'NW',medicine_showdetail.php?sn=A040615100
MEBERINE F.C..TABLETS 135MG MEBEVERINE HYDROCHLORIDE 'Y.C.',medicine_showdetail.php?sn=A040649100
EXTACOL S.C. TABLET 200MG PHENPROBAMATE,medicine_showdetail.php?sn=A040653100
DEXTROLAMINE TABLET,medicine_showdetail.php?sn=A040655100
SPASMO-EUVERNIL F.C,medicine_showdetail.php?sn=A040656100
DOCODON ENTERIC MICROENCAPSULATED CAPSULES 100MG ASPIRIN 'N.W.',medicine_showdetail.php?sn=A040665100
COYENPIN E.C.TABLETS 50MG DICLOFENAC SODIUM 'ROOT',medicine_showdetail.php?sn=A040685100
GLUCOFIT F.C.TABLETS 500MG METFORMIN 'SWISS',medicine_showdetail.php?sn=A040781100
CYPROH TABLETS 4MG CYPROHEPTADINE HYDROCHLORIDE 'KOJAR',medicine_showdetail.php?sn=A040791100
COSOPIN TABLETS CH,medicine_showdetail.php?sn=A040794100
AEZOC E.C.TABLETS 1,medicine_showdetail.php?sn=A040822100
BROWN MIXTURE TABLE,medicine_showdetail.php?sn=A040870100
TNYH TABLETS 10MG,medicine_showdetail.php?sn=A040887100
GLUCOSAMINE CAP. 25,medicine_showdetail.php?sn=A040897100
TINTEN TABLETS 'EXTRA',medicine_showdetail.php?sn=A040908100
CAPOTIL TABLETS 25MG CAPTOPRIL KINGDOM,medicine_showdetail.php?sn=A040949100
SWITANE TABLETS 5MG 'SWISS' TRIHEXYPHENIDYL,medicine_showdetail.php?sn=A040977100
MEQAZINE TABLETS 5MG 'Y.C.' MEQUITAZINE,medicine_showdetail.php?sn=A040979100
MESURIN TABLETS 2MG'S.C',medicine_showdetail.php?sn=A041020100
SUBILIN TAB. 60MG,medicine_showdetail.php?sn=A041030100
COLDAN CAPSULES 'KOJAR',medicine_showdetail.php?sn=A041047100
POUSTARN CAPSULES 250MG 'KOJAR'MEFENAMIC ACID,medicine_showdetail.php?sn=A041048100
COSINIC TABLETS 25MG'SINTON',medicine_showdetail.php?sn=A041051100
NIFEPINE SUSTAINED RELEASE F.C.T 20MGFITAL,medicine_showdetail.php?sn=A041058100
DERGINPIN TABLETS 5MG 'KOJAR'DIAZEPAM,medicine_showdetail.php?sn=A041062100
ANZERTON TABLETS 500MG 'KOJAR'ACETAMINOPHEN,medicine_showdetail.php?sn=A041066100
AN CAPSULES 250MG 'KOJAR',medicine_showdetail.php?sn=A041069100
CEFADROXIL CAP. 500,medicine_showdetail.php?sn=A041168100
LYSOZYME TABLETA 90,medicine_showdetail.php?sn=A041169100
KEZINTEA TAB.,medicine_showdetail.php?sn=A041213100
BUFLO TABLET 150MGS.T.BUFLOMEDI,medicine_showdetail.php?sn=A041221100
TRAND CAPSULES 250MG 'STANDARD'TRANEXAMIC ACID,medicine_showdetail.php?sn=A041226100
GLUBIN F.C. TABLET 500MG,medicine_showdetail.php?sn=A041233100
CARPINE TABLETS 200MG 'S.T.'CARBAMAZEPINE,medicine_showdetail.php?sn=A041247100
MENCHUAN F.C. TABLETS 100MG TICLOPIDINE,medicine_showdetail.php?sn=A041251100
UROPYRIN S.C.TAB. 100MG,medicine_showdetail.php?sn=A041260100
AZUNOL TABLETS 2MG,medicine_showdetail.php?sn=A041264100
PRIPRAM TAB. 5MG,medicine_showdetail.php?sn=A041269100
'KOJAR'KUETONBILY TABLETS 10MG DICYCLOMINE HYDROCHLORIDE,medicine_showdetail.php?sn=A041270100
ANTIGLUCO TABLETS 500MG 'NW' METFORMIN,medicine_showdetail.php?sn=A041277100
KINXETIN CAPSULE 20MG 'KINGDOM'FLUOXETINE,medicine_showdetail.php?sn=A041280100
KINTEC TABLETS 20MG KINGDOMENALAPRIL,medicine_showdetail.php?sn=A041281100
'KOJAR' POUSTARN FILE COATED TABLETS 500MG MEFENAMIC ACID,medicine_showdetail.php?sn=A041310100
SUNLING TABLETS 4MG 'KOJAR' SALBUTAMOL,medicine_showdetail.php?sn=A041329100
LIPDOWN CAP. 300MG,medicine_showdetail.php?sn=A041332100
JUXAC CAPSULES 20MG'S.Y.'FLUOXETINE,medicine_showdetail.php?sn=A041338100
CHIFONEON TAB. 50MG,medicine_showdetail.php?sn=A041349100
TRAZO F.C. TABLETS 100MG 'C.H.' TRAZODONE HYDROCHLORIDE,medicine_showdetail.php?sn=A041350100
ULSTOP F.C.TAB. 20M,medicine_showdetail.php?sn=A041352100
MEDLIN TABLETS 4MG METHYLPREDNISOLONE 'KOJAR',medicine_showdetail.php?sn=A041358100
PINTYLIN TAB. 5MG,medicine_showdetail.php?sn=A041360100
SIMEN E.C. TAB. 10M,medicine_showdetail.php?sn=A041376100
PRECONIN TABLETS 5MG PREDNISOLONE 'KOJAR',medicine_showdetail.php?sn=A041378100
INOLIM TABLETS 3MG TRIMETOQUINOL 'KOJAR',medicine_showdetail.php?sn=A041380100
VOLTAR E.C.TABLETS 50MG DICLOFENAC SODIUM 'KOJAR',medicine_showdetail.php?sn=A041384100
SEROTEC CAPSULES 20MG 'S.S.P.'FLUOXETINE,medicine_showdetail.php?sn=A041419100
CLOMINE TABLETS 25MG 'S.C.'CLOMIPRAMINE,medicine_showdetail.php?sn=A041427100
ENALATEC TABLETS 5MG ENALAPRIL,medicine_showdetail.php?sn=A041430100
CHITOGEN CAP.250MG,medicine_showdetail.php?sn=A041440100
KINAX TABLETS 1MG 'KINGDOM' ALPRAZOLAM,medicine_showdetail.php?sn=A041465100
FYLIN RETARD F.C. TABLETS 400MG 'G.H.'PENTOXIFYLLINE,medicine_showdetail.php?sn=A041488100
NILPID F.C. TAB.600,medicine_showdetail.php?sn=A041496100
ATINOL F.C. TABLETS 100MG S.Y.ATENOLOL,medicine_showdetail.php?sn=A041497100
CIRZODONE TABLET 50MG 'SINPHAR'TRAZODONE HYDROCHLORIDE,medicine_showdetail.php?sn=A041499100
ENCINE E.M. CAPSULES 100MG 'EVEREST',medicine_showdetail.php?sn=A041511100
FLUPINE TABLETS 0.25MG FLUDIAZEPAM 'JOHNSON',medicine_showdetail.php?sn=A041519100
CUINE CAP. 250MG,medicine_showdetail.php?sn=A041520100
CISAP TAB. 5MG,medicine_showdetail.php?sn=A041533100
CALBO TABLETS 950MG CALCIUM CITRATE'C.H.',medicine_showdetail.php?sn=A041539100
LUNAR S.C. TABLETS,medicine_showdetail.php?sn=A041540100
MOREFINE F.C. TABLETS 100MG 'VPP'CHLORPROMAZINE HYDROCHLORIDE,medicine_showdetail.php?sn=A041547100
ANGINAR F.C.TABLET 25MGPURZERDIPYRIDAMILE,medicine_showdetail.php?sn=A041548100
ANGINAR F.C.TABLET 25MGPURZERDIPYRIDAMILE,medicine_showdetail.php?sn=A041548100
TLRAMTOR CAPSULES 50MG 'PATRON'TRAMADOLHYDROCHLORIDE,medicine_showdetail.php?sn=A041557100
TRAZO F.C. TABLETS 50MG 'C.H.'TRAZODONE HYDROCHLORIDE,medicine_showdetail.php?sn=A041560100
ANXIRON TABLETS 10MG 'H.C' BUSPIRONE HYDROCHLORIDE,medicine_showdetail.php?sn=A041564100
SINZAC CAPSULES 20MG 'S.T.'FLUOXETINE,medicine_showdetail.php?sn=A041606100
KETO FILM COATED TABLETS 10MG KETOROLAC,medicine_showdetail.php?sn=A041631100
BELICU CAP. 250MG,medicine_showdetail.php?sn=A041636100
NAKAMIDE F.C. TABLETS 2.5MG N.K. INDAPAMIDE,medicine_showdetail.php?sn=A041641100
BENCOZEN TAB. 20MG,medicine_showdetail.php?sn=A041646100
DIFENA ENTERIC MICROENCAPSULATED CAPSULES 50MG DICLOFENAC SODIUM 'STANDARD',medicine_showdetail.php?sn=A041654100
FLAMQUIT F.C. TABLETS 50MG 'SWISS'DICLOFENAC POTASSIUM,medicine_showdetail.php?sn=A041664100
JIA-CAL TABLETS 950MG 'S.C.'CALCIUM CITRATE,medicine_showdetail.php?sn=A041668100
ACEBOL F.C. TABLET 400MG ACEBUTOLOL STANDARD,medicine_showdetail.php?sn=A041669100
ATENOL F.C. TABLETS 100MG S.Y.ATENOLOL,medicine_showdetail.php?sn=A041679100
Noderin Tablets 200mg Carbamazepine'S.Y.',medicine_showdetail.php?sn=A041745100
GLIBUDON F.C. TABLETS 500MG METFORMIN HYDROCHLORIDE,medicine_showdetail.php?sn=A041750100
NOGOUT TABLETS 100MG BENZBROMARONE 'SINPHAR',medicine_showdetail.php?sn=A041807100
ASPICORE ENTERIC-MICROENCAPSULATED CAPSULES 100MG'WETER'ASPIRIN,medicine_showdetail.php?sn=A041814100
LIMYCIN CAPSULES 10MG PHENOXYBENZAMINE HYDROCHLORIDE,medicine_showdetail.php?sn=A041816100
ESTROLAN F.C. TABLETS 0.625MG CONJUGATED ESTROGEN 'N.W.',medicine_showdetail.php?sn=A041830100
DILTAREN E.C. TABLETS 50MG DICLOFENAC SODIUM'Y.C.',medicine_showdetail.php?sn=A041833100
LIPOLIN CAP. 100MG,medicine_showdetail.php?sn=A041837100
CHUM F.C. TABLETS 135MG MEBEVERINE HYDROCHLORIDE 'ROOT',medicine_showdetail.php?sn=A041838100
CASEAL CAP. 250MG,medicine_showdetail.php?sn=A041880100
CHIAN CAP.,medicine_showdetail.php?sn=A041894100
MOBIC TABLETS 7.5MG,medicine_showdetail.php?sn=A041913100
MENISONE TABLETS 4MG METHYLPREDNISOLONE 'P.L.',medicine_showdetail.php?sn=A041918100
TOPRIDE TABLETS 10M,medicine_showdetail.php?sn=A041925100
SELEZIN TABLETS 5MG'JOHNSON'SELEGILINE,medicine_showdetail.php?sn=A041927100
CALCIK F.C. TABLETS 950MG 'SWISS' CALCIUM CITRATE,medicine_showdetail.php?sn=A041935100
SEROTEC CAPSULES 10MG FLUOXETINE'S.S.P.',medicine_showdetail.php?sn=A041936100
GLUBON-S CAP.250MG,medicine_showdetail.php?sn=A041955100
BENZON TABLETS 50MG 'S.T.'BENZBROMARONE,medicine_showdetail.php?sn=A041995100
FLUXEN CAPSULES 20MG 'UNION'FLUOXETINE,medicine_showdetail.php?sn=A042001100
LOVACOR TABLETS 20MG,medicine_showdetail.php?sn=A042016100
NONCOUGH CAP.,medicine_showdetail.php?sn=A042017100
COVINA F.C. TABLETS 'S.Y.',medicine_showdetail.php?sn=A042026100
SQUMIN TABLET 5MG 'STANDARD',medicine_showdetail.php?sn=A042096100
SUTAIN TABLET 200MG TIAPROFENIC ACID 'EVEREST',medicine_showdetail.php?sn=A042103100
LORA TABLET 10MG LORATADINE 'S.Y.',medicine_showdetail.php?sn=A042104100
PIPOXIN TABLETS 10 MG 'S.C.' PIPOXOLAN,medicine_showdetail.php?sn=A042204100
GENURSO TAB. 100MG,medicine_showdetail.php?sn=A042210100
FLAMQUIT F.C. TABLETS 25MG DICLOFENAC POTASSIUM 'SWISS',medicine_showdetail.php?sn=A042216100
NORCOL TABLETS 20MG,medicine_showdetail.php?sn=A042218100
SYNDOMAN CAPSULES 30MG FLURAZEPAM HYDROCHLORIDE'S.T.',medicine_showdetail.php?sn=A042222100
SYNDOMAN CAPSULES 15MG FLURAZEPAM HYDROCHLORIDE'S.P.',medicine_showdetail.php?sn=A042227100
QUITAZINE TABLETS 5MG MEQUITAZINE'H.C.',medicine_showdetail.php?sn=A042257100
BENDOPAR CAPSULES 250MG 'S.T.',medicine_showdetail.php?sn=A042263100
ROWAPRAXIN F.C. TABLETS 10MG PIPOXOLAN,medicine_showdetail.php?sn=A042272100
BENDOPAR CAPSULES 125MG 'S.T.',medicine_showdetail.php?sn=A042274100
PERISCON TAB. 5MG,medicine_showdetail.php?sn=A042283100
MOCLOD F.C. TABLETS 150MG MOCLOBEMIDE,medicine_showdetail.php?sn=A042347100
MUCAINE TABLETS,medicine_showdetail.php?sn=A042366100
GENZOSIN TABLET 2MG DOXAZOSIN MESYLATE,medicine_showdetail.php?sn=A042378100
MILIX TABLETS 1.25MG INDAPAMIDEM.S.,medicine_showdetail.php?sn=A042380100
DACSULIN TABLETS 200MGSULINDAC,medicine_showdetail.php?sn=A042384100
HEXOLINE TABLETS 0.5MG HEXOPRENALINE'S.C.',medicine_showdetail.php?sn=A042394100
WASOW TABLETS 5MG,medicine_showdetail.php?sn=A042400100
AXUROCEF F.C. TABLE,medicine_showdetail.php?sn=A042417100
BENSAUBENZONATATE,medicine_showdetail.php?sn=A042435100
TOPRIDE TABLETS 5MG,medicine_showdetail.php?sn=A042442100
CLOPINE TABLETS 100MG CLOZAPINE 'SWISS',medicine_showdetail.php?sn=A042448100
FUSEN ENTERIC MICROENCAPSULATED CAPSULES 100MG ASPIRIN 'CHINTENG',medicine_showdetail.php?sn=A042461100
FOR-YOU S.C. TABLETS 25MG CIOMIPRAMINE'WINSTON',medicine_showdetail.php?sn=A042463100
BEDELIN TABLETS 5MG MEQUITAZINE 'Y.C.',medicine_showdetail.php?sn=A042500100
PROHEPARUM DRAGEES,medicine_showdetail.php?sn=A042503100
TIPROFEN TABLETS 200MG TIAPROFENIC ACID'WINSTON',medicine_showdetail.php?sn=A042507100
VORTAGEN E.M. CAPSULES 50MG DICLOFENAC SODIUM 'EVEREST',medicine_showdetail.php?sn=A042512100
GENDERGIN TABLET 0.5MG ALPRAZOLAM,medicine_showdetail.php?sn=A042514100
FOGLUGEN DISPERSIBLE-20 TABLETS 20MG PIROXICAM 'S.T.',medicine_showdetail.php?sn=A042521100
DANSE E.C. TABLETS 10MG S.T.SERRAPEPTASE,medicine_showdetail.php?sn=A042527100
SANCIN F.C. TABLET 50MG DIPYRIDAMOLE S.C.,medicine_showdetail.php?sn=A042535100
SEVINA F.C. TABLETS 'S.Y.',medicine_showdetail.php?sn=A042536100
AMPRAZO TABLETS 0.5 MG ALPRAZOLAM,medicine_showdetail.php?sn=A042537100
MEQUITINE TABLET 5MG MEQUITAZINE'WINSTON',medicine_showdetail.php?sn=A042538100
DEPIRON TABLETS 10MG BUSPIRONE HYDROCHLORIDE 'WEIDAR',medicine_showdetail.php?sn=A042540100
LOVAST TABLETS 20MG,medicine_showdetail.php?sn=A042558100
SYNBOT TABLETS 20MG ENALAPRIL MALEATES.Y.,medicine_showdetail.php?sn=A042584100
PANAZIL F.C. TABLET,medicine_showdetail.php?sn=A042585100
VOLEN ENTERIC-MICROENCAPSULATED CAPSULES. 50MG DICLOFENAC SODIUM 'WINSTON',medicine_showdetail.php?sn=A042588100
PAIN WILL PASS TABLETS 200MG TIAPROFENIC ACID'ROOT',medicine_showdetail.php?sn=A042602100
MEDIKA CAPSULES CH,medicine_showdetail.php?sn=A042605100
FENOLIP MICRONISED,medicine_showdetail.php?sn=A042619100
CLOPINE TABLETS 25MG CLOZAPINE 'SWISS',medicine_showdetail.php?sn=A042621100
FINSKA TABLETS 10MG,medicine_showdetail.php?sn=A042626100
LOVASTA TABLETS 20M,medicine_showdetail.php?sn=A042627100
PRIDER TABLETS 5MG,medicine_showdetail.php?sn=A042645100
ESZO TABLETS 2MG ESTAZOLAM'S.T.',medicine_showdetail.php?sn=A042646100
KINAX TABLETS 0.5MG ALPRAZOLAM 'KINGDOM',medicine_showdetail.php?sn=A042686100
REGROW SUSTAINED RE,medicine_showdetail.php?sn=A042687100
GENESAFE TABLETS 200MG MEPHENOXALONE,medicine_showdetail.php?sn=A042743100
MECOLA TABLETS 20MG,medicine_showdetail.php?sn=A042748100
EURICON TABLETS 50MG 'S.Y.',medicine_showdetail.php?sn=A042754100
MUACTION SUSTAINED RELEASE TABLETS 100MG 'M.S.' TRAMADOL HYDROCHLORIDE,medicine_showdetail.php?sn=A042770100
FENOFIBRATE CAPSULE,medicine_showdetail.php?sn=A042775100
PANZYNORM DRAGEES,medicine_showdetail.php?sn=A042806100
ANTHOLIN CAPSULES,medicine_showdetail.php?sn=A042829100
TICLOD F.C. TABLETS 250MG 'WINSTON' TICLOPIDINE',medicine_showdetail.php?sn=A042830100
UXETINE CAPSULES 20MG FLUOXETINE,medicine_showdetail.php?sn=A042837100
SAWTO ENTERIC-MICROENCAPSULATED CAPSULES 50MG DICLOFENAC SODIUM 'CHINTENG',medicine_showdetail.php?sn=A042855100
SHUANE TABLETS 200MG MEPHENOXALONE'S.C.',medicine_showdetail.php?sn=A042856100
GENADINE TABLET 10MG LORATADINE,medicine_showdetail.php?sn=A042860100
TARNIN TABLETS 50MG CHLORPROTHIXENE HYDROCHLORIDE 'S.C.',medicine_showdetail.php?sn=A042883100
MEZAPIN TABLETS 100MG 'PANBIOTIC'CLOZAPINE,medicine_showdetail.php?sn=A042886100
CETIZIN F.C. TABLETS 10MG CETIRIZINE 'H.S.',medicine_showdetail.php?sn=A042887100
GENIQUIN FILM COATE,medicine_showdetail.php?sn=A042899100
ZYSULIN CAPSULE WI,medicine_showdetail.php?sn=A042904100
TRAZONE TABLETS 100MG TRAZODONE HYDROCHLORIDE 'S.T.',medicine_showdetail.php?sn=A042906100
DIAMIN TABLETS 80MG GLICLAZIDE 'S.T.',medicine_showdetail.php?sn=A042908100
ACEPIN TABLETS 400MG ACEBUTOLOL Y.C.,medicine_showdetail.php?sn=A042909100
DOTOPINE CAPSULES 25MG DOTHIEPIN 'S.C.',medicine_showdetail.php?sn=A042912100
DOFLEX TABLETS 200MG MEPHENOXALONE'GENTLE',medicine_showdetail.php?sn=A042919100
TEZOPIN TABLETS 2MG TERAZOSIN WEIDAR,medicine_showdetail.php?sn=A042936100
MAYJOU TABLETS 0.25,medicine_showdetail.php?sn=A042941100
SULMATYL FILM COATED TABLETS 50MG SULPIRIDE 'P.L.',medicine_showdetail.php?sn=A042946100
GENTOLOL FILM COATED CAPLETS 400MG ACEBUTOLOL,medicine_showdetail.php?sn=A042947100
